ID_Transaccion;Categoria;Turno_Entrega;Tiempo_Despacho_Min;Monto_ARS
11476;Hogar;Mañana;6.391.768.274.033.700;30.728.138.746.914.000
10668;Electronica;Tarde;2.873.199.310.061.920;16.215.269.652.511.800
10452;Indumentaria;Mañana;39.456.467.207.193.200;3.314.684.307.382.610
11062;Hogar;Noche;4.604.322.131.635.860;31.267.890.572.736.800
10370;Ferreteria;Noche;4.558.298.343.072.840;2.450.312.536.063.850
10737;Electronica;Noche;671.982.914.987.076;17.773.112.339.618.400
10346;Hogar;Tarde;3.608.450.441.480.690;2.868.204.690.808.100
10484;Electronica;Noche;6.423.148.381.437.830;24.990.825.687.396.200
10956;Ferreteria;Noche;30.869.011.476.564.500;21.524.154.299.602.800
11049;Electronica;Noche;7.145.336.160.010.070;30.456.769.820.799.100
10529;Indumentaria;Mañana;47.127.915.828.112.400;16.860.759.829.682.300
11483;Electronica;Noche;3.656.864.512.043.700;1.785.178.812.037.340
10626;Electronica;Mañana;6.313.899.166.453.100;4.345.616.733.562.880
11399;Electronica;Noche;2.883.188.845.546.910;35.796.665.912.376
10943;Electronica;Tarde;4.995.250.261.789.450;5.144.109.314.237.550
11007;Electronica;Tarde;3.578.645.072.176.950;2.588.295.085.373.530
10958;Indumentaria;Noche;4.967.552.703.196.820;2.557.890.808.792.630
10078;Hogar;Tarde;28.282.862.596.929.800;2.711.438.257.580.340
10731;Electronica;Mañana;3.990.128.241.346.170;26.089.383.064.518.600
10844;Electronica;Tarde;3.406.381.255.345.950;2.603.147.352.998.250
11229;Hogar;Tarde;34.904.297.323.094.800;12.016.535.978.550.000
10555;Ferreteria;Mañana;3.763.841.805.265.670;30.869.161.173.450.300
10776;Electronica;Tarde;30.984.725.871.322.300;18.344.950.052.609.000
10139;Electronica;Tarde;3.087.615.723.974.030;22.149.677.643.161.700
10592;Electronica;Noche;3.135.952.845.539.080;15.749.463.101.322.800
10242;Ferreteria;Tarde;4.145.036.721.703.430;2.342.782.304.458.090
10744;Hogar;Tarde;3.211.368.086.453.890;1.982.443.863.000.300
11404;Indumentaria;Tarde;3.595.188.155.823.560;3.785.237.909.030.660
11267;Ferreteria;Tarde;6.461.226.284.315.010;7.755.272.482.055.130
10201;Ferreteria;Noche;5.719.435.668.548.470;21.026.313.408.556.700
10774;Indumentaria;Noche;50.568.193.020.852.400;21.861.431.979.898.000
10692;Electronica;Mañana;16.806.590.579.849.600;28.536.632.294.408.000
11192;Electronica;Tarde;39.617.303.746.306.200;26.080.575.038.894.300
10211;Hogar;Noche;3.766.527.768.856.260;3.579.301.078.534.720
11461;Electronica;Mañana;4.106.555.981.715.250;9.505.637.690.142.080
11462;Electronica;Noche;5.060.221.781.598.240;21.738.579.107.404.100
11117;Electronica;Mañana;6.939.214.198.174.660;29.937.923.634.851.000
10437;Ferreteria;Noche;4.024.870.005.902.220;35.639.974.700.373.200
11491;Hogar;Noche;5.291.853.973.414.340;20.341.542.976.550.500
10514;Indumentaria;Mañana;2.599.658.292.714.220;16.270.967.702.377.400
11083;Ferreteria;Mañana;16.838.356.721.458.300;10.324.869.549.755.300
10152;Electronica;Noche;5.601.391.375.765.080;2.564.565.301.109.390
10486;Hogar;Tarde;4.975.413.925.518.240;27.464.685.286.073.100
10531;Ferreteria;Tarde;4.646.513.783.340.410;12.049.557.529.138.500
11073;Hogar;Mañana;4.946.784.141.309.030;1.423.091.171.235.240
10961;Electronica;Noche;7.314.260.119.841.560;25.858.527.317.295.600
10931;Ferreteria;Tarde;6.853.401.743.516.240;3.348.118.164.162.120
10057;Electronica;Noche;4.552.279.314.587.640;2.303.759.566.933.970
10033;Indumentaria;Mañana;34.343.211.752.475.700;3.191.323.370.776.700
10371;Ferreteria;Noche;47.314.737.474.503.700;3.483.071.436.058.040
10107;Ferreteria;Mañana;6.652.870.539.708.800;3.599.046.261.941.680
10250;Indumentaria;Tarde;32.360.701.179.146.500;3.023.284.476.685.280
10304;Indumentaria;Noche;3.210.989.574.451.030;10.791.981.288.491.700
10814;Ferreteria;Tarde;5.481.981.244.362.010;2.548.109.582.374.630
11494;Indumentaria;Mañana;42.790.494.041.174.700;14.692.398.515.285.600
10721;Hogar;Noche;3.567.559.238.946.140;29.498.946.332.933.400
10249;Hogar;Mañana;6.178.894.417.162.890;4.084.864.715.143.370
10161;Electronica;Tarde;5.772.494.250.564.490;16.350.903.097.618.700
10454;Electronica;Tarde;5.368.767.028.937.570;24.808.181.580.016.200
10900;Electronica;Mañana;6.087.756.450.676.760;17.129.648.658.473.400
10913;Indumentaria;Mañana;3.617.942.132.311.680;2.694.349.883.540.560
10223;Ferreteria;Noche;6.381.535.302.859.060;22.996.810.821.039.300
10025;Indumentaria;Tarde;4.981.578.499.998.240;3.054.659.752.266.080
10190;Hogar;Tarde;3.463.023.943.474.830;1.777.258.866.904.840
11114;Hogar;Noche;2.562.733.348.356.290;3.432.098.991.856.100
11346;Hogar;Tarde;43.077.217.956.213.400;24.388.882.909.865.300
